==========================================
LM-EVAL HARNESS BENCHMARK   
 MODE: STANDARD FP16 BASELINE
==========================================
[*] Warming up HIPBLAS context...

[1] Loading Base Tokenizer & HF Architecture from /home/lolollo/models/quant/qwen25_7b...

[2] Skipping V36 Injection -> Running Standard FP16 Baseline.

[3] Wrapping Model in EleutherAI HFLM Interface...

[4] Firing up the harness for tasks: ['arc_challenge', 'hellaswag', 'mmlu']

============================================================
 RESULTS: FP16 BASELINE
============================================================
|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.4770|±  |0.0146|
|                                       |       |none  |     0|acc_norm|↑  |0.5111|±  |0.0146|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.6003|±  |0.0049|
|                                       |       |none  |     0|acc_norm|↑  |0.7897|±  |0.0041|
|mmlu                                   |      2|none  |      |acc     |↑  |0.7194|±  |0.0035|
| - humanities                          |      2|none  |      |acc     |↑  |0.6291|±  |0.0064|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.5556|±  |0.0444|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.8364|±  |0.0289|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.8725|±  |0.0234|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.8734|±  |0.0216|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.8430|±  |0.0332|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.8333|±  |0.0360|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.8221|±  |0.0300|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.8064|±  |0.0213|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.3106|±  |0.0155|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.7846|±  |0.0234|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.8364|±  |0.0206|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.5365|±  |0.0127|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.8538|±  |0.0271|
