==========================================
 LM-EVAL HARNESS BENCHMARK   
 MODE: V36 COMPRESSED
==========================================
[*] Warming up HIPBLAS context...

[1] Loading Base Tokenizer & HF Architecture from /home/lolollo/models/quant/qwen25_7b...

[2] Injecting V36 Weights from ./quant_qwen...
[*] AUDIT: Updated 196 linear layers out of 196 found.

[3] Wrapping Model in EleutherAI HFLM Interface...

[4] Firing up the harness for tasks: ['arc_challenge', 'hellaswag', 'mmlu']

============================================================
 RESULTS: V36 4-2-1-1
============================================================
|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.4889|±  |0.0146|
|                                       |       |none  |     0|acc_norm|↑  |0.5205|±  |0.0146|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5987|±  |0.0049|
|                                       |       |none  |     0|acc_norm|↑  |0.7885|±  |0.0041|
|mmlu                                   |      2|none  |      |acc     |↑  |0.7180|±  |0.0036|
| - humanities                          |      2|none  |      |acc     |↑  |0.6281|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.5476|±  |0.0445|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.8121|±  |0.0305|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.8824|±  |0.0226|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.8608|±  |0.0225|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.8512|±  |0.0325|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.8241|±  |0.0368|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.8221|±  |0.0300|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.7977|±  |0.0216|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.3318|±  |0.0157|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.7717|±  |0.0238|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.8302|±  |0.0209|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.5313|±  |0.0127|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.8480|±  |0.0275|
| - other                               |      2|none  |      |acc     |↑  |0.7660|±  |0.0073|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.7600|±  |0.0429|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.7774|±  |0.0256|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.6763|±  |0.0357|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.4300|±  |0.0498|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.7578|±  |0.0288|
|  - management                         |      1|none  |     0|acc     |↑  |0.8932|±  |0.0306|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.9274|±  |0.0170|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.8700|±  |0.0338|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.8506|±  |0.0127|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.8007|±  |0.0229|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.5745|±  |0.0295|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.7794|±  |0.0252|
|  - virology                           |      1|none  |     0|acc     |↑  |0.5301|±  |0.0389|
| - social sciences                     |      2|none  |      |acc     |↑  |0.8261|±  |0.0067|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.6140|±  |0.0458|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.8788|±  |0.0233|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.9430|±  |0.0167|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.7872|±  |0.0208|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.8866|±  |0.0206|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.8954|±  |0.0131|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.8168|±  |0.0339|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.7778|±  |0.0168|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.6909|±  |0.0443|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.7755|±  |0.0267|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.8607|±  |0.0245|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.8800|±  |0.0327|
| - stem                                |      2|none  |      |acc     |↑  |0.6993|±  |0.0079|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.5400|±  |0.0501|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.7333|±  |0.0382|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.8224|±  |0.0311|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.8472|±  |0.0301|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.5400|±  |0.0501|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.6900|±  |0.0465|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.5100|±  |0.0502|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.5196|±  |0.0497|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.8300|±  |0.0378|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.7319|±  |0.0290|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.6828|±  |0.0388|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.7302|±  |0.0229|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.8742|±  |0.0189|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.6552|±  |0.0334|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.8400|±  |0.0368|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.5519|±  |0.0303|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.6093|±  |0.0398|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.6759|±  |0.0319|
